Rule_Number,Job_Name,Rule_Execution,Program_Type,Module_Name,Sub_Module,Input_File,Input_File_Layout,Input_File_Length,Output_File,Output_File_Layout,Business_Rule_Category,Linkage_Columns,Detailed_Business_Rule,SQL_Decision_Control_Statements,SQL_Function,Code_Reference,Bounded_Context,DB2_Table_Name,Review_Comments
BR-CBADMCDJ-233,CBADMCDJ,233,COBOL,COTRN00C,POPULATE-TRAN-DATA - WHEN OTHER,N/A,N/A,N/A,N/A,N/A,Error-Handling,N/A,Defensive default catch-all branch for unexpected WS-IDX values - takes no action. Should never happen given the loop bounds 1..10.,WHEN OTHER\n    CONTINUE,N/A,443-444,Transaction Management — List,N/A,None
BR-CBADMCDJ-234,CBADMCDJ,234,COBOL,COTRN00C,INITIALIZE-TRAN-DATA - WHEN 1,N/A,N/A,N/A,COTRN00,N/A (BMS symbolic map),Initialization,N/A,Clear row 1 of the displayed transaction list to spaces. Used before page-load to wipe stale display data from prior page in case fewer than 10 records are read on the new page.,WHEN 1\n    MOVE SPACES TO TRNID01I OF COTRN0AI\n    MOVE SPACES TO TDATE01I OF COTRN0AI\n    MOVE SPACES TO TDESC01I OF COTRN0AI\n    MOVE SPACES TO TAMT001I OF COTRN0AI,N/A,453-457,Transaction Management — List,N/A,None
BR-CBADMCDJ-235,CBADMCDJ,235,COBOL,COTRN00C,INITIALIZE-TRAN-DATA - WHEN 2,N/A,N/A,N/A,COTRN00,N/A (BMS symbolic map),Initialization,N/A,Clear row 2 of the displayed transaction list to spaces. Used before page-load to wipe stale display data from prior page in case fewer than 10 records are read on the new page.,WHEN 2\n    MOVE SPACES TO TRNID02I OF COTRN0AI\n    MOVE SPACES TO TDATE02I OF COTRN0AI\n    MOVE SPACES TO TDESC02I OF COTRN0AI\n    MOVE SPACES TO TAMT002I OF COTRN0AI,N/A,458-462,Transaction Management — List,N/A,None
BR-CBADMCDJ-236,CBADMCDJ,236,COBOL,COTRN00C,INITIALIZE-TRAN-DATA - WHEN 3,N/A,N/A,N/A,COTRN00,N/A (BMS symbolic map),Initialization,N/A,Clear row 3 of the displayed transaction list to spaces. Used before page-load to wipe stale display data from prior page in case fewer than 10 records are read on the new page.,WHEN 3\n    MOVE SPACES TO TRNID03I OF COTRN0AI\n    MOVE SPACES TO TDATE03I OF COTRN0AI\n    MOVE SPACES TO TDESC03I OF COTRN0AI\n    MOVE SPACES TO TAMT003I OF COTRN0AI,N/A,463-467,Transaction Management — List,N/A,None
BR-CBADMCDJ-237,CBADMCDJ,237,COBOL,COTRN00C,INITIALIZE-TRAN-DATA - WHEN 4,N/A,N/A,N/A,COTRN00,N/A (BMS symbolic map),Initialization,N/A,Clear row 4 of the displayed transaction list to spaces. Used before page-load to wipe stale display data from prior page in case fewer than 10 records are read on the new page.,WHEN 4\n    MOVE SPACES TO TRNID04I OF COTRN0AI\n    MOVE SPACES TO TDATE04I OF COTRN0AI\n    MOVE SPACES TO TDESC04I OF COTRN0AI\n    MOVE SPACES TO TAMT004I OF COTRN0AI,N/A,468-472,Transaction Management — List,N/A,None
BR-CBADMCDJ-238,CBADMCDJ,238,COBOL,COTRN00C,INITIALIZE-TRAN-DATA - WHEN 5,N/A,N/A,N/A,COTRN00,N/A (BMS symbolic map),Initialization,N/A,Clear row 5 of the displayed transaction list to spaces. Used before page-load to wipe stale display data from prior page in case fewer than 10 records are read on the new page.,WHEN 5\n    MOVE SPACES TO TRNID05I OF COTRN0AI\n    MOVE SPACES TO TDATE05I OF COTRN0AI\n    MOVE SPACES TO TDESC05I OF COTRN0AI\n    MOVE SPACES TO TAMT005I OF COTRN0AI,N/A,473-477,Transaction Management — List,N/A,None
BR-CBADMCDJ-239,CBADMCDJ,239,COBOL,COTRN00C,INITIALIZE-TRAN-DATA - WHEN 6,N/A,N/A,N/A,COTRN00,N/A (BMS symbolic map),Initialization,N/A,Clear row 6 of the displayed transaction list to spaces. Used before page-load to wipe stale display data from prior page in case fewer than 10 records are read on the new page.,WHEN 6\n    MOVE SPACES TO TRNID06I OF COTRN0AI\n    MOVE SPACES TO TDATE06I OF COTRN0AI\n    MOVE SPACES TO TDESC06I OF COTRN0AI\n    MOVE SPACES TO TAMT006I OF COTRN0AI,N/A,478-482,Transaction Management — List,N/A,None
BR-CBADMCDJ-240,CBADMCDJ,240,COBOL,COTRN00C,INITIALIZE-TRAN-DATA - WHEN 7,N/A,N/A,N/A,COTRN00,N/A (BMS symbolic map),Initialization,N/A,Clear row 7 of the displayed transaction list to spaces. Used before page-load to wipe stale display data from prior page in case fewer than 10 records are read on the new page.,WHEN 7\n    MOVE SPACES TO TRNID07I OF COTRN0AI\n    MOVE SPACES TO TDATE07I OF COTRN0AI\n    MOVE SPACES TO TDESC07I OF COTRN0AI\n    MOVE SPACES TO TAMT007I OF COTRN0AI,N/A,483-487,Transaction Management — List,N/A,None
BR-CBADMCDJ-241,CBADMCDJ,241,COBOL,COTRN00C,INITIALIZE-TRAN-DATA - WHEN 8,N/A,N/A,N/A,COTRN00,N/A (BMS symbolic map),Initialization,N/A,Clear row 8 of the displayed transaction list to spaces. Used before page-load to wipe stale display data from prior page in case fewer than 10 records are read on the new page.,WHEN 8\n    MOVE SPACES TO TRNID08I OF COTRN0AI\n    MOVE SPACES TO TDATE08I OF COTRN0AI\n    MOVE SPACES TO TDESC08I OF COTRN0AI\n    MOVE SPACES TO TAMT008I OF COTRN0AI,N/A,488-492,Transaction Management — List,N/A,None
BR-CBADMCDJ-242,CBADMCDJ,242,COBOL,COTRN00C,INITIALIZE-TRAN-DATA - WHEN 9,N/A,N/A,N/A,COTRN00,N/A (BMS symbolic map),Initialization,N/A,Clear row 9 of the displayed transaction list to spaces. Used before page-load to wipe stale display data from prior page in case fewer than 10 records are read on the new page.,WHEN 9\n    MOVE SPACES TO TRNID09I OF COTRN0AI\n    MOVE SPACES TO TDATE09I OF COTRN0AI\n    MOVE SPACES TO TDESC09I OF COTRN0AI\n    MOVE SPACES TO TAMT009I OF COTRN0AI,N/A,493-497,Transaction Management — List,N/A,None
BR-CBADMCDJ-243,CBADMCDJ,243,COBOL,COTRN00C,INITIALIZE-TRAN-DATA - WHEN 10,N/A,N/A,N/A,COTRN00,N/A (BMS symbolic map),Initialization,N/A,Clear row 10 of the displayed transaction list to spaces. Used before page-load to wipe stale display data from prior page in case fewer than 10 records are read on the new page.,WHEN 10\n    MOVE SPACES TO TRNID10I OF COTRN0AI\n    MOVE SPACES TO TDATE10I OF COTRN0AI\n    MOVE SPACES TO TDESC10I OF COTRN0AI\n    MOVE SPACES TO TAMT0010I OF COTRN0AI,N/A,498-502,Transaction Management — List,N/A,None
BR-CBADMCDJ-244,CBADMCDJ,244,COBOL,COTRN00C,INITIALIZE-TRAN-DATA - WHEN OTHER,N/A,N/A,N/A,N/A,N/A,Error-Handling,N/A,"Defensive default catch-all branch — silently continues with no action. The branch exists to satisfy COBOL case-statement syntax requiring an exhaustive case list. Reaching this branch would indicate an unexpected row-counter value, which is a logic error rather than an expected runtime condition. The silent continue is itself a modernization risk and should become a logged exception in Java.",WHEN OTHER\n    CONTINUE,N/A,503-504,Transaction Management — List,N/A,None
BR-CBADMCDJ-245,CBADMCDJ,245,COBOL,COTRN00C,RETURN-TO-PREV-SCREEN,N/A,N/A,N/A,COMMAREA,CDEMO-FROM-TRANID(PIC X(4))|CDEMO-FROM-PROGRAM(PIC X(8))|CDEMO-TO-TRANID(PIC X(4))|CDEMO-TO-PROGRAM(PIC X(8))|CDEMO-USER-ID(PIC X(8))|CDEMO-USER-TYPE(PIC X(1))|CDEMO-PGM-CONTEXT(PIC 9(1))|CDEMO-CUST-ID(PIC 9(9))|CDEMO-CUST-FNAME(PIC X(25))|CDEMO-CUST-MNAME(PIC X(25))|CDEMO-CUST-LNAME(PIC X(25))|CDEMO-ACCT-ID(PIC 9(11))|CDEMO-ACCT-STATUS(PIC X(1))|CDEMO-CARD-NUM(PIC 9(16))|CDEMO-LAST-MAP(PIC X(7))|CDEMO-LAST-MAPSET(PIC X(7)),Finalization,CDEMO-TO-PROGRAM,"Return to a calling program (caller specified in CDEMO-TO-PROGRAM, defaults to COSGN00C signon if blank) via control-transfer with the communication area preserving context. This is the user-initiated exit path triggered by PF3. The calling program receives back the same communication area it had passed in, so the user's session state is preserved across the round-trip.",IF CDEMO-TO-PROGRAM = LOW-VALUES OR SPACES\n    MOVE 'COSGN00C' TO CDEMO-TO-PROGRAM\nEND-IF\nMOVE WS-TRANID    TO CDEMO-FROM-TRANID\nMOVE WS-PGMNAME   TO CDEMO-FROM-PROGRAM\nMOVE ZEROS        TO CDEMO-PGM-CONTEXT\nEXEC CICS\n    XCTL PROGRAM(CDEMO-TO-PROGRAM)\n    COMMAREA(CARDDEMO-COMMAREA)\nEND-EXEC,N/A,510-521,Transaction Management — List,N/A,Multi-program CALL chain via XCTL - identify as microservice or Step Function boundary
BR-CBADMCDJ-246,CBADMCDJ,246,COBOL,COTRN00C,SEND-TRNLST-SCREEN,N/A,N/A,N/A,COTRN00,N/A (BMS symbolic map),File-IO,N/A,"Performs POPULATE-HEADER-INFO to set the title bar and current date/time, copies WS-MESSAGE to ERRMSGO, then sends the COTRN0A map. Branches on SEND-ERASE-YES/NO: ERASE clears any prior screen content; no-erase preserves the existing screen and overlays only the changed rows.",PERFORM POPULATE-HEADER-INFO\nMOVE WS-MESSAGE TO ERRMSGO OF COTRN0AO\nIF SEND-ERASE-YES\n    EXEC CICS SEND\n              MAP('COTRN0A')\n              MAPSET('COTRN00')\n              FROM(COTRN0AO)\n              ERASE\n              CURSOR\n    END-EXEC\nELSE\n    EXEC CICS SEND ... (without ERASE)\nEND-IF,N/A,527-549,Transaction Management — List,N/A,None
BR-CBADMCDJ-247,CBADMCDJ,247,COBOL,COTRN00C,RECEIVE-TRNLST-SCREEN,COTRN00,N/A (BMS symbolic map),N/A,N/A,N/A,File-IO,N/A,"Receive the COTRN0A map into the COTRN0AI input area; response and reason codes are captured for downstream error handling. If the user pressed CLEAR or no map data was sent, the receive returns a MAPFAIL response and the program redisplays the screen unchanged. This is the standard CICS BMS receive idiom.",EXEC CICS RECEIVE\n          MAP('COTRN0A')\n          MAPSET('COTRN00')\n          INTO(COTRN0AI)\n          RESP(WS-RESP-CD)\n          RESP2(WS-REAS-CD)\nEND-EXEC,N/A,554-562,Transaction Management — List,N/A,None
BR-CBADMCDJ-248,CBADMCDJ,248,COBOL,COTRN00C,POPULATE-HEADER-INFO,N/A,N/A,N/A,N/A,N/A,Date-Time,N/A,"Populate the screen header: title lines (CCDA-TITLE01/02 constants), transaction-id, program-name, current date (MM/DD/YY), current time (HH:MM:SS) using the COBOL CURRENT-DATE intrinsic function. The header is refreshed on every send so the user sees a current timestamp. The date and time displays use program-local formatting independent of the BMS map definitions.",MOVE FUNCTION CURRENT-DATE  TO WS-CURDATE-DATA\nMOVE CCDA-TITLE01           TO TITLE01O OF COTRN0AO\nMOVE CCDA-TITLE02           TO TITLE02O OF COTRN0AO\nMOVE WS-TRANID              TO TRNNAMEO OF COTRN0AO\nMOVE WS-PGMNAME             TO PGMNAMEO OF COTRN0AO\nMOVE WS-CURDATE-MONTH       TO WS-CURDATE-MM\n...\nMOVE WS-CURDATE-MM-DD-YY    TO CURDATEO OF COTRN0AO\n...\nMOVE WS-CURTIME-HH-MM-SS    TO CURTIMEO OF COTRN0AO,CURRENT-DATE,567-586,Transaction Management — List,N/A,None
BR-CBADMCDJ-249,CBADMCDJ,249,COBOL,COTRN00C,STARTBR-TRANSACT-FILE - EXEC + WHEN NORMAL,TRANSACT,TRAN-ID(PIC X(16))|TRAN-TYPE-CD(PIC X(2))|TRAN-CAT-CD(PIC 9(4))|TRAN-SOURCE(PIC X(10))|TRAN-DESC(PIC X(100))|TRAN-AMT(PIC S9(9)V99)|TRAN-MERCHANT-ID(PIC 9(9))|TRAN-MERCHANT-NAME(PIC X(50))|TRAN-MERCHANT-CITY(PIC X(50))|TRAN-MERCHANT-ZIP(PIC X(10))|TRAN-CARD-NUM(PIC X(16))|TRAN-ORIG-TS(PIC X(26))|TRAN-PROC-TS(PIC X(26))|FILLER(PIC X(20)),350,N/A,N/A,File-IO,TRAN-ID,"Establish a browse positioning on TRANSACT VSAM by Tran ID. Note the GTEQ option is COMMENTED OUT - the browse uses exact key positioning, which means a key not exactly matching a record produces NOTFND.",EXEC CICS STARTBR\n     DATASET   (WS-TRANSACT-FILE)\n     RIDFLD    (TRAN-ID)\n     KEYLENGTH (LENGTH OF TRAN-ID)\n*         GTEQ\n     RESP      (WS-RESP-CD)\n     RESP2     (WS-REAS-CD)\nEND-EXEC\nEVALUATE WS-RESP-CD\n    WHEN DFHRESP(NORMAL)\n        CONTINUE,N/A,591-604,Transaction Management — List,N/A,Commented-out GTEQ option means exact key match required - may cause unexpected NOTFND when key is partial; review for correct behavior in target architecture
BR-CBADMCDJ-250,CBADMCDJ,250,COBOL,COTRN00C,STARTBR-TRANSACT-FILE - WHEN NOTFND (silent),TRANSACT,TRAN-ID(PIC X(16))|TRAN-TYPE-CD(PIC X(2))|TRAN-CAT-CD(PIC 9(4))|TRAN-SOURCE(PIC X(10))|TRAN-DESC(PIC X(100))|TRAN-AMT(PIC S9(9)V99)|TRAN-MERCHANT-ID(PIC 9(9))|TRAN-MERCHANT-NAME(PIC X(50))|TRAN-MERCHANT-CITY(PIC X(50))|TRAN-MERCHANT-ZIP(PIC X(10))|TRAN-CARD-NUM(PIC X(16))|TRAN-ORIG-TS(PIC X(26))|TRAN-PROC-TS(PIC X(26))|FILLER(PIC X(20)),350,N/A,N/A,Error-Handling,N/A,"When STARTBR returns NOTFND, the program executes a CONTINUE statement BEFORE the SET TRANSACT-EOF and message lines. The CONTINUE causes the entire NOTFND branch to be a no-op silent failure: the SET, MOVEs, and subsequent invocations after CONTINUE are dead code that is never reached. This is a CRITICAL silent-failure bug.",WHEN DFHRESP(NOTFND)\n    CONTINUE\n    SET TRANSACT-EOF TO TRUE\n    MOVE 'You are at the top of the page...' TO\n                    WS-MESSAGE\n    MOVE -1       TO TRNIDINL OF COTRN0AI\n    PERFORM SEND-TRNLST-SCREEN,N/A,605-611,Transaction Management — List,N/A,BUG: CONTINUE executed BEFORE SET TRANSACT-EOF - all subsequent statements are dead code; CONTINUE after non-zero SQLCODE / RESP - silent failures that must become logged exceptions in Java/Glue
BR-CBADMCDJ-251,CBADMCDJ,251,COBOL,COTRN00C,STARTBR-TRANSACT-FILE - WHEN OTHER,TRANSACT,TRAN-ID(PIC X(16))|TRAN-TYPE-CD(PIC X(2))|TRAN-CAT-CD(PIC 9(4))|TRAN-SOURCE(PIC X(10))|TRAN-DESC(PIC X(100))|TRAN-AMT(PIC S9(9)V99)|TRAN-MERCHANT-ID(PIC 9(9))|TRAN-MERCHANT-NAME(PIC X(50))|TRAN-MERCHANT-CITY(PIC X(50))|TRAN-MERCHANT-ZIP(PIC X(10))|TRAN-CARD-NUM(PIC X(16))|TRAN-ORIG-TS(PIC X(26))|TRAN-PROC-TS(PIC X(26))|FILLER(PIC X(20)),350,N/A,N/A,Error-Handling,N/A,"On any other STARTBR response code, write the response/reason codes to the system output stream for operations diagnostics, set the error flag, populate the message ""Unable to lookup transaction..."", and re-send the screen. This branch handles I/O errors, file-unavailable conditions, and other non-NORMAL non-NOTFND responses. The DISPLAY to SYSOUT pattern is a modernization risk (see Review_Comments).",WHEN OTHER\n    DISPLAY 'RESP:' WS-RESP-CD 'REAS:' WS-REAS-CD\n    MOVE 'Y'     TO WS-ERR-FLG\n    MOVE 'Unable to lookup transaction...' TO\n                    WS-MESSAGE\n    MOVE -1       TO TRNIDINL OF COTRN0AI\n    PERFORM SEND-TRNLST-SCREEN,N/A,612-618,Transaction Management — List,N/A,DISPLAY to SYSOUT - replace with structured logging (SLF4J/Log4j2) in target architecture
BR-CBADMCDJ-252,CBADMCDJ,252,COBOL,COTRN00C,READNEXT-TRANSACT-FILE - WHEN NORMAL/ENDFILE/OTHER,TRANSACT,TRAN-ID(PIC X(16))|TRAN-TYPE-CD(PIC X(2))|TRAN-CAT-CD(PIC 9(4))|TRAN-SOURCE(PIC X(10))|TRAN-DESC(PIC X(100))|TRAN-AMT(PIC S9(9)V99)|TRAN-MERCHANT-ID(PIC 9(9))|TRAN-MERCHANT-NAME(PIC X(50))|TRAN-MERCHANT-CITY(PIC X(50))|TRAN-MERCHANT-ZIP(PIC X(10))|TRAN-CARD-NUM(PIC X(16))|TRAN-ORIG-TS(PIC X(26))|TRAN-PROC-TS(PIC X(26))|FILLER(PIC X(20)),350,N/A,N/A,File-IO,"TRAN-ID,TRAN-RECORD","Read the next record in the TRANSACT browse. The normal-response branch continues. The end-of-file branch has the same silent-failure pattern as STARTBR's NOTFND (CONTINUE before SET TRANSACT-EOF), so the EOF detection is bug-prone. The default catch-all branch displays response codes, sets the error flag, and shows the error message.",EXEC CICS READNEXT\n     DATASET (WS-TRANSACT-FILE)\n     INTO (TRAN-RECORD)\n     ...\nEND-EXEC\nEVALUATE WS-RESP-CD\n    WHEN DFHRESP(NORMAL) CONTINUE\n    WHEN DFHRESP(ENDFILE)\n        CONTINUE\n        SET TRANSACT-EOF TO TRUE\n        MOVE 'You have reached the bottom...' TO WS-MESSAGE\n    WHEN OTHER\n        DISPLAY 'RESP:' WS-RESP-CD 'REAS:' WS-REAS-CD\n        MOVE 'Y' TO WS-ERR-FLG,N/A,624-653,Transaction Management — List,N/A,BUG: CONTINUE before SET TRANSACT-EOF in ENDFILE branch - subsequent statements are dead code; CONTINUE after non-zero SQLCODE / RESP - silent failures that must become logged exceptions in Java/Glue; DISPLAY to SYSOUT - replace with structured logging
BR-CBADMCDJ-253,CBADMCDJ,253,COBOL,COTRN00C,READPREV-TRANSACT-FILE - WHEN NORMAL/ENDFILE/OTHER,TRANSACT,TRAN-ID(PIC X(16))|TRAN-TYPE-CD(PIC X(2))|TRAN-CAT-CD(PIC 9(4))|TRAN-SOURCE(PIC X(10))|TRAN-DESC(PIC X(100))|TRAN-AMT(PIC S9(9)V99)|TRAN-MERCHANT-ID(PIC 9(9))|TRAN-MERCHANT-NAME(PIC X(50))|TRAN-MERCHANT-CITY(PIC X(50))|TRAN-MERCHANT-ZIP(PIC X(10))|TRAN-CARD-NUM(PIC X(16))|TRAN-ORIG-TS(PIC X(26))|TRAN-PROC-TS(PIC X(26))|FILLER(PIC X(20)),350,N/A,N/A,File-IO,"TRAN-ID,TRAN-RECORD","Read the previous record in the TRANSACT browse (used for PF7 page-back). Same WHEN NORMAL/ENDFILE/OTHER pattern as READNEXT, with the same silent-failure CONTINUE-before-SET bug in the ENDFILE branch.",EXEC CICS READPREV\n     DATASET (WS-TRANSACT-FILE)\n     INTO (TRAN-RECORD)\n     ...\nEND-EXEC\nEVALUATE WS-RESP-CD\n    WHEN DFHRESP(NORMAL) CONTINUE\n    WHEN DFHRESP(ENDFILE)\n        CONTINUE\n        SET TRANSACT-EOF TO TRUE\n        MOVE 'You have reached the top...' TO WS-MESSAGE\n    WHEN OTHER\n        DISPLAY 'RESP:' WS-RESP-CD 'REAS:' WS-REAS-CD,N/A,658-687,Transaction Management — List,N/A,BUG: CONTINUE before SET TRANSACT-EOF in ENDFILE branch - subsequent statements are dead code; CONTINUE after non-zero SQLCODE / RESP - silent failures that must become logged exceptions in Java/Glue
BR-CBADMCDJ-254,CBADMCDJ,254,COBOL,COTRN00C,ENDBR-TRANSACT-FILE,N/A,N/A,N/A,N/A,N/A,Cleanup,N/A,"End the active browse on the TRANSACT VSAM file, releasing any positioning held by STARTBR. No response code check is performed - relies on CICS task termination to clean up if this fails.",EXEC CICS ENDBR\n     DATASET   (WS-TRANSACT-FILE)\nEND-EXEC,N/A,692-696,Transaction Management — List,N/A,ENDBR response code not checked - in target architecture wrap in try-finally with explicit close handler
BR-CBADMCDJ-255,CBADMCDJ,255,COBOL,COBIL00C,PROGRAM-ID,N/A,N/A,N/A,N/A,N/A,Initialization,DFHCOMMAREA,"The COBIL00C program implements transaction CB00 - the Bill Payment screen. The user enters an Account ID and confirms (Y/N) to apply a full-balance bill payment, which generates a TRANSACT record with type 02 / category 2 (debit), and decrements ACCT-CURR-BAL by the payment amount.",IDENTIFICATION DIVISION.\nPROGRAM-ID. COBIL00C.,N/A,23-24,Bill Payment,N/A,None
BR-CBADMCDJ-256,CBADMCDJ,256,COBOL,COBIL00C,MAIN-PARA - INIT flags,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,Reset error and user-modified flags on every entry; clear the message buffer. This initialization runs at the top of MAIN-PARA before any branching so that stale flags from a prior pseudo-conversational iteration do not influence current logic. The clean-slate guarantee is essential for predictable behavior.,SET ERR-FLG-OFF     TO TRUE\nSET USR-MODIFIED-NO TO TRUE\nMOVE SPACES TO WS-MESSAGE\n               ERRMSGO OF COBIL0AO,N/A,101-105,Bill Payment,N/A,None
BR-CBADMCDJ-257,CBADMCDJ,257,COBOL,COBIL00C,MAIN-PARA - IF EIBCALEN=0,N/A,N/A,N/A,N/A,N/A,Initialization,EIBCALEN,"On first-time entry without a communication area (no commarea passed in), route to the signon program (COSGN00C) to force the user to authenticate before accessing bill-payment functionality. This guards against direct invocation of the transaction without prior login. The check is a security boundary at every program entry point.",IF EIBCALEN = 0\n    MOVE 'COSGN00C' TO CDEMO-TO-PROGRAM\n    PERFORM RETURN-TO-PREV-SCREEN,N/A,107-109,Bill Payment,N/A,Multi-program CALL chain via XCTL - identify as microservice or Step Function boundary
BR-CBADMCDJ-258,CBADMCDJ,258,COBOL,COBIL00C,MAIN-PARA - IF NOT REENTER + pre-populate from selection,N/A,N/A,N/A,N/A,N/A,Initialization,CDEMO-CB00-TRN-SELECTED,"On first-time fresh entry, set re-enter flag, clear screen output, focus cursor on Account ID. If a transaction was pre-selected by an upstream caller (CDEMO-CB00-TRN-SELECTED is populated), copy it into the input area and run PROCESS-ENTER-KEY to auto-run the payment process.",IF NOT CDEMO-PGM-REENTER\n    SET CDEMO-PGM-REENTER    TO TRUE\n    MOVE LOW-VALUES          TO COBIL0AO\n    MOVE -1       TO ACTIDINL OF COBIL0AI\n    IF CDEMO-CB00-TRN-SELECTED NOT =\n                               SPACES AND LOW-VALUES\n        MOVE CDEMO-CB00-TRN-SELECTED TO\n             ACTIDINI OF COBIL0AI\n        PERFORM PROCESS-ENTER-KEY\n    END-IF\n    PERFORM SEND-BILLPAY-SCREEN,N/A,112-122,Bill Payment,N/A,None
BR-CBADMCDJ-259,CBADMCDJ,259,COBOL,COBIL00C,MAIN-PARA - WHEN DFHENTER,N/A,N/A,N/A,N/A,N/A,Data-Validation,EIBAID,"On Enter, run PROCESS-ENTER-KEY which validates input, looks up the account, and conditionally generates the bill-payment transaction. The action depends on the user's confirmation flag value: Y processes the payment, N declines, blank prompts for confirmation. This is the central business-logic dispatcher for the bill-payment workflow.",WHEN DFHENTER\n    PERFORM PROCESS-ENTER-KEY,N/A,126-127,Bill Payment,N/A,None
BR-CBADMCDJ-260,CBADMCDJ,260,COBOL,COBIL00C,MAIN-PARA - WHEN DFHPF3 (return to caller),N/A,N/A,N/A,N/A,N/A,Finalization,"CDEMO-FROM-PROGRAM,CDEMO-TO-PROGRAM","On PF3 (exit), return to the caller program if known (CDEMO-FROM-PROGRAM was set by the upstream tranid), or to the main menu COMEN01C if unknown. This honors the bidirec-tional caller-callee linkage convention.",WHEN DFHPF3\n    IF CDEMO-FROM-PROGRAM = SPACES OR LOW-VALUES\n        MOVE 'COMEN01C' TO CDEMO-TO-PROGRAM\n    ELSE\n        MOVE CDEMO-FROM-PROGRAM TO\n        CDEMO-TO-PROGRAM\n    END-IF\n    PERFORM RETURN-TO-PREV-SCREEN,N/A,128-135,Bill Payment,N/A,Multi-program CALL chain via XCTL - identify as microservice or Step Function boundary
BR-CBADMCDJ-261,CBADMCDJ,261,COBOL,COBIL00C,MAIN-PARA - WHEN DFHPF4 (clear screen),N/A,N/A,N/A,N/A,N/A,Cleanup,EIBAID,"On PF4, clear all input fields by performing CLEAR-CURRENT-SCREEN (which initializes all fields and re-sends the screen). This is the user-initiated reset path before any commit, equivalent to starting over on the same screen. Any unsaved input is destroyed; the user is back to a clean slate.",WHEN DFHPF4\n    PERFORM CLEAR-CURRENT-SCREEN,N/A,136-137,Bill Payment,N/A,None
BR-CBADMCDJ-262,CBADMCDJ,262,COBOL,COBIL00C,MAIN-PARA - WHEN OTHER (invalid AID),N/A,N/A,N/A,N/A,N/A,Error-Handling,N/A,"When any other key is pressed, set error flag, populate the standard ""Invalid key pressed."" message, and re-send the screen. Only Enter, PF3, and PF4 are accepted on the bill-payment screen. This guard prevents users from triggering unintended actions via unmapped function keys.",WHEN OTHER\n    MOVE 'Y'                       TO WS-ERR-FLG\n    MOVE CCDA-MSG-INVALID-KEY      TO WS-MESSAGE\n    PERFORM SEND-BILLPAY-SCREEN,N/A,138-141,Bill Payment,N/A,None
BR-CBADMCDJ-263,CBADMCDJ,263,COBOL,COBIL00C,MAIN-PARA - EXEC CICS RETURN,N/A,N/A,N/A,COMMAREA,CDEMO-FROM-TRANID(PIC X(4))|CDEMO-FROM-PROGRAM(PIC X(8))|CDEMO-TO-TRANID(PIC X(4))|CDEMO-TO-PROGRAM(PIC X(8))|CDEMO-USER-ID(PIC X(8))|CDEMO-USER-TYPE(PIC X(1))|CDEMO-PGM-CONTEXT(PIC 9(1))|CDEMO-CUST-ID(PIC 9(9))|CDEMO-CUST-FNAME(PIC X(25))|CDEMO-CUST-MNAME(PIC X(25))|CDEMO-CUST-LNAME(PIC X(25))|CDEMO-ACCT-ID(PIC 9(11))|CDEMO-ACCT-STATUS(PIC X(1))|CDEMO-CARD-NUM(PIC 9(16))|CDEMO-LAST-MAP(PIC X(7))|CDEMO-LAST-MAPSET(PIC X(7)),Finalization,N/A,Pseudo-conversational return with TRANSID=CB00 and the communication area preserved for the next iteration. The CICS region drops the program's working storage and resumes execution at this same program when the next user keystroke arrives. This is the core CardDemo state-passing mechanism for the bill-payment screen.,EXEC CICS RETURN\n          TRANSID (WS-TRANID)\n          COMMAREA (CARDDEMO-COMMAREA)\nEND-EXEC,N/A,146-149,Bill Payment,N/A,None
BR-CBADMCDJ-264,CBADMCDJ,264,COBOL,COBIL00C,PROCESS-ENTER-KEY - validate Acct ID not blank,N/A,N/A,N/A,N/A,N/A,Data-Validation,ACTIDINI OF COBIL0AI,"First validation: account ID must not be blank. If blank, set error flag, populate ""Acct ID can NOT be empty..."", force cursor on the field, and re-send the screen.",EVALUATE TRUE\n    WHEN ACTIDINI OF COBIL0AI = SPACES OR LOW-VALUES\n        MOVE 'Y'     TO WS-ERR-FLG\n        MOVE 'Acct ID can NOT be empty...' TO\n                        WS-MESSAGE\n        MOVE -1       TO ACTIDINL OF COBIL0AI\n        PERFORM SEND-BILLPAY-SCREEN\n    WHEN OTHER\n        CONTINUE\nEND-EVALUATE,N/A,158-167,Bill Payment,N/A,None
BR-CBADMCDJ-265,CBADMCDJ,265,COBOL,COBIL00C,PROCESS-ENTER-KEY - WHEN Y/y (confirm pay),N/A,N/A,N/A,N/A,N/A,Data-Validation,"CONFIRMI OF COBIL0AI,ACCT-ID,XREF-ACCT-ID","When user enters Y/y in the confirmation field, set CONF-PAY-YES and read the account master via READ-ACCTDAT-FILE. The lookup returns either the account record (success) or an error (NOTFND/file error - handled within READ-ACCTDAT-FILE).",EVALUATE CONFIRMI OF COBIL0AI\n    WHEN 'Y'\n    WHEN 'y'\n        SET CONF-PAY-YES TO TRUE\n        PERFORM READ-ACCTDAT-FILE,N/A,173-177,Bill Payment,N/A,None
